t,Yar,Yar+,Yar*,Ye-,Nar+,Nar*,Te,ydot0,ydot1,ydot2,term4,qu,hu
0.0000010000,0.9997073503,0.0002916460,0.0000009997,0.0000000040,46924963068722856.0000000000,160842049417994.4062500000,75166.1757842469,315.6576651634,-0.0003131304,851.7335477692,2102.2913418456,4,0.0000000605
0.0000020000,0.9994032068,0.0005957856,0.0000009994,0.0000000082,95830976266742000.0000000000,160745056560744.0937500000,60770.6382120486,319.9343963053,-0.0003130368,-2234.9100636617,2166.7308102751,3,0.0000000001
0.0000030000,0.9993204094,0.0006785822,0.0000009990,0.0000000093,109139610836223872.0000000000,160679655402958.3125000000,35220.2536023534,17.7692658155,-0.0003129353,-219.6733425256,185.4553810212,5,0.0000001100
0.0000040000,0.9993126194,0.0006863725,0.0000009987,0.0000000094,110391701832660224.0000000000,160628577808281.3750000000,30803.9937540187,1.8089489950,-0.0003128383,-105.9043711305,77.6107901066,5,0.0000001100
0.0000050000,0.9993136113,0.0006853808,0.0000009984,0.0000000094,110232321364872880.0000000000,160577238213635.2812500000,28495.1586198600,-2.9737652345,-0.0003127380,-68.9422222517,43.8161327521,4,0.0000001812
0.0000060000,0.9993185142,0.0006804784,0.0000009981,0.0000000093,109444374484028032.0000000000,160519530938139.2812500000,26842.8784300047,-5.1639878721,-0.0003126240,-50.0350343165,27.2354121172,4,0.0000002740
0.0000070000,0.9993249942,0.0006739988,0.0000009977,0.0000000093,108402945870011808.0000000000,160463595892431.9687500000,25705.6404702835,-6.1596611704,-0.0003125131,-40.0273726270,18.8715087042,4,0.0000005854
0.0000080000,0.9993325500,0.0006664435,0.0000009973,0.0000000092,107188596341460912.0000000000,160405973043966.0937500000,24802.4560652941,-6.6887007334,-0.0003123985,-33.5457677906,13.7258352954,4,0.0000005854
0.0000090000,0.9993365243,0.0006624695,0.0000009972,0.0000000091,106549844098150704.0000000000,160377200863590.7812500000,24422.1240691070,-6.8478531298,-0.0003123412,-31.1552292386,11.9076839648,4,0.0000005854
0.0000100000,0.9993446626,0.0006543316,0.0000009968,0.0000000090,105241829059323968.0000000000,160319702389119.0312500000,23753.2831944083,-7.0445779190,-0.0003122267,-27.3907851622,9.1603605253,4,0.0000005854
0.0000110000,0.9993529732,0.0006460215,0.0000009964,0.0000000089,103906104158833536.0000000000,160262252128740.5937500000,23185.4885598868,-7.1326671341,-0.0003121122,-24.5854622154,7.2326964132,4,0.0000005854
0.0000120000,0.9993571581,0.0006418369,0.0000009962,0.0000000088,103233480552447104.0000000000,160233539458248.9687500000,22930.2464024014,-7.1502300541,-0.0003120550,-23.4298400829,6.4755996002,4,0.0000005854
0.0000130000,0.9993690871,0.0006299085,0.0000009957,0.0000000087,101316121288279008.0000000000,160151729948299.8750000000,22279.0132813363,-7.1384618911,-0.0003118920,-20.7503563616,4.8208355477,3,0.0000010831
0.0000140000,0.9993734184,0.0006255775,0.0000009955,0.0000000086,100619948028753792.0000000000,160121958014596.5000000000,22066.1247892531,-7.1177356974,-0.0003118326,-19.9504470899,4.3587153730,3,0.0000006074
0.0000150000,0.9993820312,0.0006169651,0.0000009952,0.0000000085,99235559378047744.0000000000,160062422821654.3437500000,21669.8440909758,-7.0589539758,-0.0003117140,-18.5526453091,3.5918540165,3,0.0000006074
0.0000160000,0.9993863079,0.0006126887,0.0000009950,0.0000000084,98548132825070384.0000000000,160032658778522.0312500000,21484.7568182111,-7.0228832632,-0.0003116547,-17.9376786123,3.2724442438,3,0.0000006074
0.0000170000,0.9993932414,0.0006057556,0.0000009947,0.0000000083,97433655315252144.0000000000,159984057476406.4687500000,21198.4682143401,-6.9569392167,-0.0003115579,-17.0306911258,2.8232785398,3,0.0000009918
0.0000180000,0.9994001042,0.0005988932,0.0000009943,0.0000000082,96330530174708640.0000000000,159935459638646.4687500000,20928.7954478719,-6.8844023362,-0.0003114611,-16.2230494159,2.4467159844,3,0.0000009918
0.0000190000,0.9994068935,0.0005921043,0.0000009940,0.0000000081,95239191761086368.0000000000,159886864839529.0000000000,20674.7738969127,-6.8070498572,-0.0003113644,-15.5000167894,2.1299340481,3,0.0000009918
0.0000200000,0.9994129773,0.0005860209,0.0000009938,0.0000000080,94261261980435872.0000000000,159842854845697.5625000000,20457.6522380808,-6.7340298086,-0.0003112768,2984.9916587023,1.8860589980,3,0.0000000000
0.0000210000,0.9992159268,0.0007830690,0.0000009934,0.0000000108,125931571990150816.0000000000,159758770093556.3125000000,56323.1961210035,313.7190525114,-0.0003111743,772.4415071005,2147.4832317505,4,0.0000000546
0.0000220000,0.9989139136,0.0010850784,0.0000009931,0.0000000149,174447474342272896.0000000000,159663087206476.5937500000,52294.0000598899,318.0900659059,-0.0003110818,-2309.1856356488,2210.0161680017,4,0.0000000007
0.0000230000,0.9988148427,0.0011841483,0.0000009928,0.0000000163,190356044220196256.0000000000,159596449022283.2500000000,34605.1295246608,25.9605348818,-0.0003109827,-347.8685664790,289.6442528279,5,0.0000000726
0.0000240000,0.9988036175,0.0011953736,0.0000009925,0.0000000164,192158396978133600.0000000000,159541296851062.9062500000,30329.4339481174,1.0966957541,-0.0003108787,-169.0979658651,120.8862827356,5,0.0000001115
0.0000250000,0.9988065604,0.0011924311,0.0000009922,0.0000000164,191685953861349664.0000000000,159491635808090.0625000000,28245.9141064768,-5.8755507631,-0.0003107810,-114.3875575151,71.1734446571,5,0.0000001115
0.0000260000,0.9988138177,0.0011851742,0.0000009919,0.0000000163,190520770923859072.0000000000,159444751082336.9687500000,26908.1517385660,-8.8810588433,-0.0003106874,-88.2299774018,48.3006776211,4,0.0000001814
0.0000270000,0.9988245412,0.0011744511,0.0000009915,0.0000000161,188799021500136096.0000000000,159392100438204.7187500000,25794.7481049475,-10.6192908010,-0.0003105815,-70.9365285390,33.8052180799,4,0.0000001814
0.0000280000,0.9988343524,0.0011646403,0.0000009913,0.0000000160,187223722836308032.0000000000,159349353318299.1875000000,25076.4884994317,-11.4107564793,-0.0003104952,-61.6406963486,26.3513387144,4,0.0000004438
0.0000290000,0.9988500344,0.0011489590,0.0000009908,0.0000000158,184705739151725216.0000000000,159285407718694.8437500000,24201.3796523534,-12.0591273131,-0.0003103657,-52.0198624424,19.0181111303,4,0.0000004438
0.0000300000,0.9988639560,0.0011350380,0.0000009905,0.0000000156,182470339510167040.0000000000,159230743063143.7500000000,23583.1774379164,-12.3259093962,-0.0003102549,-46.2122353537,14.8561899144,5,0.0000006964
0.0000310000,0.9988725710,0.0011264232,0.0000009903,0.0000000155,181086982500848352.0000000000,159197382295959.5000000000,23248.7694125936,-12.4093217560,-0.0003101872,-43.3734502742,12.9176237578,5,0.0000006964
0.0000320000,0.9988899064,0.0011090885,0.0000009898,0.0000000152,178303286342635808.0000000000,159130698502670.3125000000,22654.9141190918,-12.4592955394,-0.0003100519,-38.8016730070,9.9611522652,5,0.0000006964
0.0000330000,0.9988985759,0.0011004193,0.0000009896,0.0000000151,176911113822758624.0000000000,159097367384504.3750000000,22387.5041456544,-12.4435216204,-0.0003099843,-36.9235091941,8.8159768510,5,0.0000006964
0.0000340000,0.9989158549,0.0010831410,0.0000009892,0.0000000149,174136340664113248.0000000000,159030716586950.6562500000,21900.6171887523,-12.3575240461,-0.0003098491,-33.7611752796,6.9971334747,5,0.0000006964
0.0000350000,0.9989244418,0.0010745545,0.0000009890,0.0000000148,172757369078533504.0000000000,158997393319769.9687500000,21677.1130862817,-12.2947398681,-0.0003097815,-32.4125094678,6.2682669426,5,0.0000006964
0.0000360000,0.9989329792,0.0010660174,0.0000009888,0.0000000146,171386313650644160.0000000000,158964069196333.3750000000,21464.3715379983,-12.2224163616,-0.0003097139,-31.1852554172,5.6317600735,5,0.0000006964
0.0000370000,0.9989466849,0.0010523122,0.0000009884,0.0000000145,169185212263724032.0000000000,158910123837932.2187500000,21140.5996273295,-12.0897498558,-0.0003096046,-29.4157931721,4.7627872889,5,0.0000011273
0.0000380000,0.9989602232,0.0010387744,0.0000009881,0.0000000143,167010934627075680.0000000000,158856170253120.8437500000,20837.1445282741,-11.9431664402,-0.0003094953,-27.8599122703,4.0494367283,5,0.0000011273
